id,projeto,campanha,comunidade,comunidade_id,id_mensagem,texto_preview,tipo,data_evento,remetente_nome,remetente_id,responsavel_nome,created_at
12,Escalada,Laboratório de Projetos - Nível 4,Laboratório de Projetos - Nível 4,120363406643406079@g.us,3EB079051ED4469169AFA5,"Fala galera, hora de analisar realidade ao seu redor e treinar a sua mira. Sustentabilidade não é apenas discurso, é prática aplicada!

🎯 *MISSÃO (+15 pontos):*

1️⃣ Observe uma pequena ação ou hábito sustentável na sua casa ou comunidade (ex: reciclagem, consumo consciente, economia de água).

2️⃣ Poste na plataforma com a hashtag #FuturoSustentavel. Explique como você solucionaria ou melhoraria esse impacto através de uma ideia prática.

🛑 Regra: Para pontuar, adicione a hashtag #FuturoSustentavel. Válido até 22/04.

Postou sua ideia? Manda o link aqui e diz: qual hábito sustentável você trouxe para o seu projeto? 👇",mensagem simples,2026-04-20 11:12:38.971+00,Central Escalada,194674308468846@lid,Central Escalada,2026-04-20 14:12:39.593462+00
13,Pernambuco,Mobiliza PE,Mobiliza PE,120363405595256912@g.us,3EB0CEB4BC028612B0E546,"Boraaa, meu povo! Deu meio-dia e eu já tô sentindo o cheiro do almoço daqui, visse?

Mas antes de focar no prato, vim dar um recado: amanhã é feriado, mas pra quem tem a missão de ver Pernambuco brilhar, o trabalho não para! Tiradentes que nos perdoe, mas essa folga é só pra tu chegar com o tanque cheio e muita energia no nosso encontro de quarta-feira. Tá sabendo, né?
Então cuida em almoçar bem, que a gente segue firme por aqui. Vamos juntos! 🚀 #PEpraFrente",mensagem simples,2026-04-20 12:05:28.561+00,Mobiliza PE,111055674052635@lid,Mobiliza PE,2026-04-20 15:05:29.165233+00
14,Pernambuco,Mobiliza,Mobiliza,120363425016992076@g.us,3EB0221862758870376F55,"Meio-dia e eu já tô sentindo o cheiro do almoço daqui! 🍛🤤 Garante logo o teu prato e simbora de foco total!

Amanhã é feriado, mas o nosso sonho de mudar Pernambuco não tira folga. Aproveita esse descanso de amanhã pra pegar aquele fôlego que faltava pra gente mostrar que a nossa força é diferente. Vamos pra cima com João! #PEpraFrente",mensagem simples,2026-04-20 12:05:47.602+00,Mobiliza PE,111055674052635@lid,Mobiliza PE,2026-04-20 15:05:48.376733+00
15,Pará,Engaja 2.0,Engaja 2.0 (Azul),120363422002705740@g.us,3AF265CC459CBF7695DD,"https://engaja.pro/20-04-engaja-01-a

Boa tarde!

Vamos lá!
Curtir, comentar, compartilhar e salvar! 🚀

*Exemplos de comentários para usar como base (não copie, apenas se inspire).*

1. Parabéns, governadora Hana! Resposta rápida e compromisso com a vida das pessoas, é isso que faz a diferença.
2. Governadora Hana, liderança firme em momentos difíceis. Parabéns pelo cuidado e pela dedicação com a população.
3. Parabéns, governadora Hana! É reconfortante ver uma gestão presente e atuando desde o primeiro momento.
4. Governadora Hana, trabalho sério e humano, colocando as pessoas em primeiro lugar.",mensagem simples,2026-04-20 13:47:51.535+00,Engaja,251015655874706@lid,Engaja,2026-04-20 17:04:43.86007+00
16,Pará,Engaja 2.0,Engaja 2.0 (Vermelha),120363419511068404@g.us,3AE01FFCA5FC2792E694,"https://engaja.pro/20-04-engaja-01-b

Boa tarde!

Vamos lá!
Curtir, comentar, compartilhar e salvar! 🚀

*Exemplos de comentários para usar como base (não copie, apenas se inspire).*

1. Parabéns, governadora Hana! Resposta rápida e compromisso com a vida das pessoas, é isso que faz a diferença.
2. Governadora Hana, liderança firme em momentos difíceis. Parabéns pelo cuidado e pela dedicação com a população.
3. Parabéns, governadora Hana! É reconfortante ver uma gestão presente e atuando desde o primeiro momento.
4. Governadora Hana, trabalho sério e humano, colocando as pessoas em primeiro lugar.",mensagem simples,2026-04-20 13:48:11.935+00,Engaja,251015655874706@lid,Engaja,2026-04-20 17:05:49.268699+00
17,Mato Grosso do Sul,Senador Nelsinho | CANAL OFICIAL,Senador Nelsinho | CANAL OFICIAL,120363423242767408@g.us,3EB0588720D6726A635888,"Boa tarde, meus amigos! 
Passando para compartilhar um resumo da nossa última semana, que foi de muito trabalho e vitórias importantes.

Destravamos o novo piso da saúde após décadas de espera, garantimos investimentos históricos para nossas estradas, recarreguei as energias na cavalgada com a nossa gente e muito mais. 

*Foi uma semana de entregas reais para o nosso MS!*
Confira os detalhes no vídeo: https://www.instagram.com/reel/DXXEq4HAKrB/
*Boa semana para todos. Vamos juntos!*",mensagem simples,2026-04-20 15:21:13.772+00,Senador Nelsinho Trad,148155450556608@lid,Senador Nelsinho Trad,2026-04-20 18:21:14.354354+00
18,Mato Grosso do Sul,Senador Nelsinho | CANAL OFICIAL,Senador Nelsinho | CANAL OFICIAL,120363423242767408@g.us,3EB0F7C35CFAB68B4324,📊 ENQUETE: Qual ação teve impacto direto na sua região? (Opções: Destravar o piso salarial de profissionais da saúde | Garantir R$ 1 bilhão para nossas estradas | Estruturação viária em Dourados),enquete,2026-04-20 15:21:44.994+00,Senador Nelsinho Trad,148155450556608@lid,Senador Nelsinho Trad,2026-04-20 18:21:45.45553+00
19,Escalada,Rede Escalada,Rede Escalada,120363406995389389@g.us,3EB0496BF7CCCDCDFAC918,"🚨 *CONTAGEM REGRESSIVA: Vai mesmo deixar o iPhone escapar?*

Fala, galera! A semana mal começou e o aviso é seríssimo: o acúmulo de pontos do *Mês Flash* acaba *DEPOIS DE AMANHÃ* (quarta, 22/04)! ⏳

Ainda dá tempo! Cumpra suas missões e garanta seus últimos pontos. O relógio tá correndo, bora pro topo! 
👉 https://escaladaedu.circle.so/rank-flash-estudantes",mensagem simples,2026-04-20 16:52:58.613+00,Central Escalada,194674308468846@lid,Central Escalada,2026-04-20 19:52:58.873353+00
20,Pará,Engaja 2.0,Engaja 2.0 (Azul),120363422002705740@g.us,3EB0F4F8B023E46CB5F0F7,"Segundou, pessoal! 

Mesmo com o ritmo mais leve por conta do feriado, seguimos juntos e as *missões continuam ativas por aqui.* Se precisar de qualquer ajuda, pode me chamar no privado, tá bom?",mensagem simples,2026-04-20 16:54:41.068+00,Engaja 2.0,14406041767997@lid,Engaja 2.0,2026-04-20 19:54:41.300978+00
21,Pará,Engaja 2.0,Engaja 2.0 (Azul),120363422002705740@g.us,3EB054C680CEEE0CEE70F9,"📊 ENQUETE: Como tá o seu ritmo nesse comecinho de semana? (Opções: Tô seguindo firme, acompanhando e participando das missões🎯 | Por aqui tá mais tranquilo, mas sigo de olho em tudo💪 | Ainda não consegui acompanhar direito, mas depois do feriado volto com tudo🙏)",enquete,2026-04-20 16:54:44.687+00,Engaja 2.0,14406041767997@lid,Engaja 2.0,2026-04-20 19:54:44.899784+00
22,Pernambuco,Mobiliza PE,Mobiliza PE,120363405595256912@g.us,3EB01492EF2493C0C15E6C,"E aí, galera! 💛

Passando mais uma vez os *perfis de apoio a João Campos* nos municípios de Pernambuco!

É *muito importante que todos se sigam* e *façam collabs entre si*. Isso aumenta o alcance da nossa rede e fortalece a presença digital no estado inteiro.

-----

*Perfis Regionais*

*Sertão*
instagram.com/joaocamposnosertao

*Mata Sul*
instagram.com/matasulcomjoaocampos

-----

*Perfis @TOCOMJOÃO, por município*

*Afogados da Ingazeira*
instagram.com/tocomjoaoafdaingazeira

*Água Preta*
instagram.com/agua_preta_com_joao_campos

*Águas Belas*
instagram.com/aguasbelas_com_joaocampos

*Amaraji*
instagram.com/amaraji_com_joaocampos

*Arcoverde*
instagram.com/tocomjoaoarcoverde

*Belém de Maria*
instagram.com/belemdemariacomjoaocampos

*Bezerros*
instagram.com/bezerroscomjoao

*Buíque*
instagram.com/tocomjoaobuique

*Cabo de Santo Agostinho*
instagram.com/cabo_com_joaocampos

*Caetés*
instagram.com/tocomjoaocaetes

*Catende* _(2 perfis)_
instagram.com/catendecomjoaocampos
instagram.com/catendecomjoao40

*Chã Grande*
instagram.com/chagrandecomjoaocampos

*Cortês*
instagram.com/cortescomjoaocampos

*Custódia*
instagram.com/custodia_com_joaocampos

*Escada*
instagram.com/escadacomjoaocampos

*Gameleira*
instagram.com/gameleiracomjoaocampos

*Goiana*
instagram.com/goianacomjoaocampos

*Gravatá*
instagram.com/tocomjoaogravata

*Ingazeira*
instagram.com/tocomjoaoingazeiraa

*Ipubi*
instagram.com/tocomjoaoipubii

*Jaqueira*
instagram.com/jaqueiracomjoaocampos

*Joaquim Nabuco*
instagram.com/joaquimnabucocomjoaocampos

*Jupi*
instagram.com/agrestecomjoao

*Manari*
instagram.com/manaricomjoaocampos

*Olinda*
instagram.com/olinda_com_joaocampos

*Panelas*
instagram.com/tocomjoaopanelas

*Paulista*
instagram.com/tocomjoaopaulista

*Pombos*
instagram.com/pomboscomjoaocampos

*Primavera*
instagram.com/primaveracomjoaocampos

*Riacho das Almas*
instagram.com/riacho.comjoao40

*Ribeirão*
instagram.com/ribeiraocomjoaocampos

*Rio Formoso*
instagram.com/tocomjoaorioformoso

*São José da Coroa Grande*
instagram.com/tocomjoaosanze

*São Lourenço da Mata*
instagram.com/tocomjoaosaolourenco

*Serra Talhada*
instagram.com/tocomjoaoserratalhada

*Sirinhaém*
instagram.com/sirinhaem_com_joaocampos

*Tacaimbó*
instagram.com/tocomjoaotacaimbo

*Tamandaré*
instagram.com/tamandarecomjoaocampos

*Triunfo*
instagram.com/tocomjoaotriunfo

*Vitória de Santo Antão*
instagram.com/vitoriacomjoaocampos

*Xexéu*
instagram.com/xexeucomjoaocampos",mensagem simples,2026-04-20 16:55:30.391+00,Mobiliza PE,270862800433165@lid,Mobiliza PE,2026-04-20 19:55:30.683692+00
23,Pernambuco,Mobiliza PE,Mobiliza PE,120363405595256912@g.us,3EB00C60FCE91E3E6A16,📊 ENQUETE: Como ta seu status nessa missão dos instagram? (Opções: Já to seguindo 🏃‍♀️ | Ainda vou seguir 😅),enquete,2026-04-20 16:56:07.38+00,Mobiliza PE,270862800433165@lid,Mobiliza PE,2026-04-20 19:56:07.931337+00
24,Pará,Engaja 2.0,Engaja 2.0 (Azul),120363422002705740@g.us,3A817712998577BBC2E5,"https://engaja.pro/20-04-engaja-02-a

Boa tarde!

Vamos lá!
Curtir, comentar, compartilhar e salvar! 🚀

*Exemplos de comentários para usar como base (não copie, apenas se inspire).*

1. Parabéns, governadora Hana! Presença e reconhecimento a quem está na linha de frente fazem toda a diferença.
2. Governadora Hana, liderança de verdade é estar junto nos momentos difíceis. Parabéns pela dedicação e sensibilidade.
3. Parabéns, governadora Hana! Valorizar nossos profissionais da segurança é valorizar a vida.
4. Governadora Hana, atitude firme e humana, reconhecendo quem cuida da nossa gente. Parabéns pelo trabalho.",mensagem simples,2026-04-20 16:56:56.826+00,Engaja,251015655874706@lid,Engaja,2026-04-20 19:56:57.079459+00
25,Pará,Engaja 2.0,Engaja 2.0 (Vermelha),120363419511068404@g.us,3A54B1B37357BCD3392F,"https://engaja.pro/20-04-engaja-02-b

Boa tarde!

Vamos lá!
Curtir, comentar, compartilhar e salvar! 🚀

*Exemplos de comentários para usar como base (não copie, apenas se inspire).*

1. Parabéns, governadora Hana! Presença e reconhecimento a quem está na linha de frente fazem toda a diferença.
2. Governadora Hana, liderança de verdade é estar junto nos momentos difíceis. Parabéns pela dedicação e sensibilidade.
3. Parabéns, governadora Hana! Valorizar nossos profissionais da segurança é valorizar a vida.
4. Governadora Hana, atitude firme e humana, reconhecendo quem cuida da nossa gente. Parabéns pelo trabalho.",mensagem simples,2026-04-20 16:57:14.262+00,Engaja,251015655874706@lid,Engaja,2026-04-20 19:57:14.533683+00
26,Pará,Engaja 2.0,Engaja 2.0 (Azul),120363422002705740@g.us,3AB6CF49E0A00D1C3564,"https://engaja.pro/20-04-engaja-03-a

Boa noite!

Vamos lá!
Curtir, comentar, compartilhar e salvar! 🚀

*Exemplos de comentários para usar como base (não copie, apenas se inspire).*

1. Parabéns, futuro senador Helder! Reconhecimento justo a quem está na linha de frente cuidando da nossa gente.
2. Futuro senador Helder, liderança firme e presença nos momentos difíceis fazem toda a diferença. Parabéns pelo trabalho.
3. Parabéns, futuro senador Helder! Compromisso verdadeiro com a população e com quem mais precisa.
4. Futuro senador Helder, é assim que se faz gestão: com respeito, responsabilidade e apoio às famílias. Parabéns.",mensagem simples,2026-04-20 19:06:08.521+00,Engaja,251015655874706@lid,Engaja,2026-04-20 22:06:08.755848+00
27,Pará,Engaja 2.0,Engaja 2.0 (Vermelha),120363419511068404@g.us,3A9AADE98793B6F08B32,"https://engaja.pro/20-04-engaja-03-b

Boa noite!

Vamos lá!
Curtir, comentar, compartilhar e salvar! 🚀

*Exemplos de comentários para usar como base (não copie, apenas se inspire).*

1. Parabéns, futuro senador Helder! Reconhecimento justo a quem está na linha de frente cuidando da nossa gente.
2. Futuro senador Helder, liderança firme e presença nos momentos difíceis fazem toda a diferença. Parabéns pelo trabalho.
3. Parabéns, futuro senador Helder! Compromisso verdadeiro com a população e com quem mais precisa.
4. Futuro senador Helder, é assim que se faz gestão: com respeito, responsabilidade e apoio às famílias. Parabéns.",mensagem simples,2026-04-20 19:06:22.699+00,Engaja,251015655874706@lid,Engaja,2026-04-20 22:06:23.061723+00
28,Pará,Engaja 2.0,Engaja 2.0 (Azul),120363422002705740@g.us,3A25A132C7772A1AA3FD,"https://engaja.pro/21-04-engaja-01-a

Bom dia!

Vamos lá!
Curtir, comentar, compartilhar e salvar! 🚀

*Exemplos de comentários para usar como base (não copie, apenas se inspire).*

1. Parabéns, futuro senador Helder! Reconhecer quem protege a nossa gente é valorizar o que realmente importa.
2. Futuro senador Helder, respeito e gratidão aos nossos policiais. Parabéns pela homenagem e pelo compromisso.
3. Parabéns, futuro senador Helder! Uma liderança que valoriza coragem, dedicação e serviço à população.
4. Futuro senador Helder, gesto importante de reconhecimento a quem está todos os dias cuidando do Pará. Parabéns.",mensagem simples,2026-04-21 09:05:41.442+00,Engaja,251015655874706@lid,Engaja,2026-04-21 12:05:41.779666+00
29,Pará,Engaja 2.0,Engaja 2.0 (Vermelha),120363419511068404@g.us,3AAF515169B4F683BF01,"https://engaja.pro/21-04-engaja-01-b

Bom dia!

Vamos lá!
Curtir, comentar, compartilhar e salvar! 🚀

*Exemplos de comentários para usar como base (não copie, apenas se inspire).*

1. Parabéns, futuro senador Helder! Reconhecer quem protege a nossa gente é valorizar o que realmente importa.
2. Futuro senador Helder, respeito e gratidão aos nossos policiais. Parabéns pela homenagem e pelo compromisso.
3. Parabéns, futuro senador Helder! Uma liderança que valoriza coragem, dedicação e serviço à população.
4. Futuro senador Helder, gesto importante de reconhecimento a quem está todos os dias cuidando do Pará. Parabéns.",mensagem simples,2026-04-21 09:05:48.014+00,Engaja,251015655874706@lid,Engaja,2026-04-21 12:05:48.374251+00
30,Pará,Engaja 2.0,Engaja 2.0 (Azul),120363422002705740@g.us,3A9228DD3DFC049DA71D,"https://engaja.pro/21-04-engaja-02-a

Bom dia!

Vamos lá!
Curtir, comentar, compartilhar e salvar! 🚀

*Exemplos de comentários para usar como base (não copie, apenas se inspire).*

1. Parabéns, governadora Hana! Uma homenagem justa a quem dedica a vida à segurança da nossa gente.
2. Governadora Hana, respeito e valorização aos nossos policiais. Parabéns pelo reconhecimento.
3. Parabéns, governadora Hana! Seu compromisso com a segurança do Pará é admirável.
4. Governadora Hana, gesto importante de reconhecimento a quem protege a sociedade. Parabéns.",mensagem simples,2026-04-21 10:48:53.453+00,Engaja,251015655874706@lid,Engaja,2026-04-21 13:48:53.668385+00
31,Pará,Engaja 2.0,Engaja 2.0 (Vermelha),120363419511068404@g.us,3A08073F9A3950342A64,"https://engaja.pro/21-04-engaja-02-b

Bom dia!

Vamos lá!
Curtir, comentar, compartilhar e salvar! 🚀

*Exemplos de comentários para usar como base (não copie, apenas se inspire).*

1. Parabéns, governadora Hana! Uma homenagem justa a quem dedica a vida à segurança da nossa gente.
2. Governadora Hana, respeito e valorização aos nossos policiais. Parabéns pelo reconhecimento.
3. Parabéns, governadora Hana! Seu compromisso com a segurança do Pará é admirável.
4. Governadora Hana, gesto importante de reconhecimento a quem protege a sociedade. Parabéns.",mensagem simples,2026-04-21 10:49:07.203+00,Engaja,251015655874706@lid,Engaja,2026-04-21 13:49:07.491403+00
32,Escalada,Conexão Escalada - Nível 2,Conexão Escalada - Nível 2,120363407337623196@g.us,3EB09E63DDED04B269D7A8,"Fala, galera! O *Mês Flash* está na reta final e é hora de olhar para trás e ver o que realmente marcou sua jornada 🏁. 

*Missão Final (+10 pontos)*:

1️⃣ Escolha o conteúdo que mais te impactou neste *Mês Flash* e escreva um post contando o porquê.
2️⃣ Adicione a hashtag *#flashfinal* no seu post para pontuar.

🛑 *Regra:* Válido até 22/04!

Qual conteúdo foi o ponto de virada para vocês este mês? 👇",mensagem simples,2026-04-21 12:52:40.468+00,Central Escalada,194674308468846@lid,Central Escalada,2026-04-21 15:52:40.854822+00
33,Escalada,Rota de Crescimento - Nível 3,Rota de Crescimento - Nível 3,120363423283283910@g.us,3EB060DDDAC0555B84DAC7,"Fala, galera! Chegamos à última linha de chegada do *Mês Flash*. Você não é o mesmo líder que começou essa jornada e agora, no nosso último dia de pontuação, é hora de mostrar a verdade: qual foi o momento real de mudança?

*Missão final (+25 pontos):*
1️⃣ Escreva um post contando: *Qual foi conteúdo que te fez ter um o insight (a ficha que caiu) que fez mudar a sua visão?* (Pode ser algo que você aprendeu, um erro que você corrigiu ou uma percepção que mudou tudo).

2️⃣ Poste na plataforma com a hashtag *#LegadoFlash*.

🛑 *Regra:* use *#LegadoFlash para pontuar!*

*Já revelou o seu insight?*",mensagem simples,2026-04-21 13:00:58.88+00,Central Escalada,194674308468846@lid,Central Escalada,2026-04-21 16:00:59.16496+00
34,Escalada,Conselho Escalada - Nível 5,Conselho Escalada - Nível 5,120363425561018159@g.us,3EB09BF191D58ABCF3CC39,"*CORRE AQUI!* 🚨

Último dia para pontuar no mês Flash! Você provou que tem consistência, visão e resultado. Agora, no último dia, seu papel não é apenas brilhar, é *iluminar o caminho de quem vem atrás*.

*Sua missão final (+30 pontos):*
1️⃣ Escreva um post curto e direto no feed com o título: *""O conselho que eu daria para quem está começando hoje""*. 
2️⃣ Poste com a hashtag *#FlashMentoria*.
3️⃣ Escolha *3 alunos* e comente no post com uma dica.

🛑 *Regra:* adicione #FlashMentoria para pontuar. Válido até 22/04.

*Já deixou seu legado do mês por lá?*",mensagem simples,2026-04-21 13:14:26.136+00,Central Escalada,194674308468846@lid,Central Escalada,2026-04-21 16:14:26.467497+00
35,Escalada,Laboratório de Projetos - Nível 4,Laboratório de Projetos - Nível 4,120363406643406079@g.us,3EB00F66041E9373E058CD,"Titãs, a jornada do mês flash finaliza amanhã, mas o jogo de vocês está apenas começando. Vocês já provaram que têm consistência, agora é hora de provar que têm visão de dono.

*Sua missão final (+25 pontos):*

1️⃣ O Pitch: Imagine que você tem apenas 30 segundos para convencer alguém a entrar no Mês Flash e transformar o projeto dela. Grave um vídeo curto ou escreva esse texto no feed.

2️⃣ O Registro: Poste com a hashtag #PitchFlash.

🛑 Regra: Adicione: #PitchFlash para pontuar. Válido até 22/04 às 23h59.

Já postou seu Pitch de Ouro?",mensagem simples,2026-04-21 13:23:12.545+00,Central Escalada,194674308468846@lid,Central Escalada,2026-04-21 16:23:12.880617+00
36,Pará,Engaja 2.0,Engaja 2.0 (Azul),120363422002705740@g.us,3A64A74C6E3CC1D680C4,"https://engaja.pro/21-04-engaja-03-a

Boa noite!

Vamos lá!
Curtir, comentar, compartilhar e salvar! 🚀

*Exemplos de comentários para usar como base (não copie, apenas se inspire).*

1. Parabéns, futuro senador Helder! Fé e valores que inspiram.
2. Futuro senador Helder, exemplo de fé e família. Parabéns.
3. Parabéns, futuro senador Helder! Uma lembrança cheia de significado.
4. Futuro senador Helder, respeito e sensibilidade. Parabéns.",mensagem simples,2026-04-21 18:12:20.214+00,Engaja,251015655874706@lid,Engaja,2026-04-21 21:12:20.474311+00
37,Pernambuco,Mobiliza PE,Mobiliza PE,120363405595256912@g.us,3EB0003504F06A1DCD9447,"O crime avançou porque faltou liderança. Com João governando, a história muda 🚀💛",mensagem simples,2026-04-14 08:19:11.113+00,Mobiliza PE,111055674052635@lid,Mobiliza PE,2026-04-18 01:39:35.907327+00
38,Pernambuco,Lideranças - Mobiliza PE,Lideranças - Mobiliza PE,120363404880079867@g.us,3EB0006905FD84266FDC7E,*O café tá coado e a xícara já tá no ponto! Pausa pro cafezinho da tarde porque eu quero perguntar uma coisa pra vocês.*,mensagem simples,2026-04-15 16:36:29.314+00,Mobiliza PE,111055674052635@lid,Mobiliza PE,2026-04-18 01:39:35.907327+00
39,Pernambuco,Mobiliza,Mobiliza,120363425016992076@g.us,3EB00075C40BD81FED5DFB,"Quem fez pelo Recife vai fazer pelo estado todo, simples assim 💛",mensagem simples,2026-04-16 14:08:59.222+00,Mobiliza PE,111055674052635@lid,Mobiliza PE,2026-04-18 01:39:35.907327+00
40,Pernambuco,Mobiliza PE,Mobiliza PE,120363405595256912@g.us,3EB000BE8CDD124F59A294,Liderança de verdade é assim: puxa pelo exemplo e não se esconde 💛🚀,mensagem simples,2026-04-15 12:10:53.878+00,Mobiliza PE,111055674052635@lid,Mobiliza PE,2026-04-18 01:39:35.907327+00
41,Pernambuco,Mobiliza PE,Mobiliza PE,120363405595256912@g.us,3EB000F1A7089F57273B9D,"*Feliz quarta-feira, turma! Lembrando que hoje é o nosso dia!*

Tô doido pra saber o que vocês estão ouvindo nas ruas e nas redes. Nosso encontro das 19h30 é pra isso: trocar essa bola, calibrar nossos argumentos e sair pronto pra fazer esse movimento crescer ainda mais.

Mas quero ouvir de vocês desde agora: *diz aí em uma palavra como tá teu dia hoje.* 💛🚀",mensagem simples,2026-03-04 11:13:48.594+00,Mobiliza PE,111055674052635@lid,Mobiliza PE,2026-04-18 01:39:35.907327+00
42,Pernambuco,Mobiliza PE,Mobiliza PE,120363405595256912@g.us,3EB001043FB8700AECC0AE,"*João foi lá e mandou a real:* nosso time tem lado, tem posição e tem compromisso com quem faz o Brasil avançar. 

*É foco total em Pernambuco e lealdade a quem trabalha junto com a gente.* Simbora que o ritmo é de entrega e o futuro é logo ali! 💛🚀

*MISSÃO:* Comentar bastante
*Link:* https://engaja.pro/missaope02-30-03",mensagem simples,2026-03-30 16:29:02.361+00,Mobiliza PE,111055674052635@lid,Mobiliza PE,2026-04-18 01:39:35.907327+00
